Year,Uruguay,Brazil,Sweden,Spain,Yugoslavia,Switzerland,Italy,England,Chile,United States,Paraguay,Mexico,Bolivia,Argentina,Netherlands,Poland,West Germany,Austria,Peru,Tunisia,Scotland,France,Iran,Hungary,Belgium,Denmark,Soviet Union,Morocco,Bulgaria,Portugal,South Korea,Northern Ireland,Algeria,Iraq,Canada,Czechoslovakia,Cameroon,Republic of Ireland,Romania,Costa Rica,Colombia,Egypt,United Arab Emirates,Germany,Nigeria,Saudi Arabia,Norway,Russia,Greece,Honduras,Kuwait,New Zealand,El Salvador,Turkey,Croatia,Japan,Senegal,Australia,USA,Ecuador,Ghana,Serbia,Wales,Qatar,Iceland,Panama,South Africa,Slovenia,China PR,Bosnia and Herzegovina,Ivory Coast,Cuba,Dutch East Indies,Slovakia,North Korea,Ukraine,Czech Republic,Angola,Trinidad and Tobago,Togo,Serbia and Montenegro,Israel*,Bulgaria**,FR Yugoslavia,Jamaica,East Germany,Haiti,Zaire
1950,1.0,2,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1978,999.0,3,13.0,10.0,999.0,999.0,4.0,999.0,999.0,999.0,999.0,16.0,999.0,1.0,2.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,14.0,15.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1986,16.0,5,999.0,7.0,999.0,999.0,12.0,8.0,999.0,999.0,13.0,6.0,999.0,1.0,999.0,14.0,2.0,999.0,999.0,999.0,19.0,3.0,999.0,18.0,4.0,9.0,10.0,11.0,15.0,17.0,20.0,21.0,22.0,23.0,24.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1990,16.0,9,21.0,10.0,5.0,999.0,3.0,4.0,999.0,23.0,999.0,999.0,999.0,2.0,15.0,999.0,1.0,18.0,999.0,999.0,18.0,999.0,999.0,999.0,11.0,999.0,17.0,999.0,999.0,999.0,22.0,999.0,999.0,999.0,999.0,6.0,7.0,8.0,12.0,13.0,14.0,20.0,24.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1994,999.0,1,3.0,8.0,999.0,15.0,2.0,999.0,999.0,14.0,999.0,13.0,21.0,10.0,7.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,999.0,999.0,23.0,4.0,999.0,20.0,999.0,999.0,999.0,999.0,999.0,22.0,16.0,6.0,999.0,19.0,999.0,999.0,5.0,9.0,12.0,17.0,18.0,24.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1982,999.0,5,999.0,12.0,16.0,999.0,1.0,6.0,22.0,999.0,999.0,999.0,999.0,11.0,999.0,3.0,2.0,8.0,20.0,999.0,15.0,4.0,999.0,14.0,10.0,999.0,7.0,999.0,999.0,999.0,999.0,9.0,13.0,999.0,999.0,19.0,17.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,18.0,21.0,23.0,24.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1954,4.0,6,999.0,999.0,8.0,5.0,10.0,7.0,999.0,999.0,999.0,13.0,999.0,999.0,999.0,999.0,1.0,3.0,999.0,999.0,15.0,11.0,999.0,2.0,12.0,999.0,999.0,999.0,999.0,999.0,16.0,999.0,999.0,999.0,999.0,14.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,9.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
2022,20.0,8,999.0,14.0,999.0,12.0,999.0,5.0,999.0,999.0,999.0,22.0,999.0,1.0,6.0,15.0,999.0,999.0,999.0,21.0,999.0,2.0,26.0,999.0,23.0,28.0,999.0,4.0,999.0,7.0,16.0,999.0,999.0,999.0,31.0,999.0,19.0,999.0,999.0,27.0,999.0,999.0,999.0,17.0,999.0,25.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,3.0,9.0,10.0,11.0,13.0,18.0,24.0,29.0,30.0,32.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1930,1.0,6,999.0,999.0,4.0,999.0,999.0,999.0,5.0,3.0,9.0,13.0,12.0,2.0,999.0,999.0,999.0,999.0,10.0,999.0,999.0,7.0,999.0,999.0,11.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,8.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
2018,5.0,6,7.0,12.0,999.0,14.0,999.0,4.0,999.0,999.0,999.0,10.0,999.0,15.0,999.0,22.0,999.0,999.0,21.0,26.0,999.0,1.0,17.0,999.0,3.0,11.0,999.0,30.0,999.0,13.0,25.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,28.0,9.0,31.0,999.0,19.0,20.0,23.0,999.0,8.0,999.0,999.0,999.0,999.0,999.0,999.0,2.0,16.0,18.0,27.0,999.0,999.0,999.0,24.0,999.0,999.0,29.0,32.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1934,999.0,14,8.0,5.0,999.0,7.0,1.0,999.0,999.0,16.0,999.0,999.0,999.0,9.0,9.0,999.0,999.0,4.0,999.0,999.0,999.0,9.0,999.0,6.0,15.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,2.0,999.0,999.0,12.0,999.0,999.0,13.0,999.0,3.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
2002,26.0,1,13.0,5.0,999.0,999.0,15.0,6.0,999.0,8.0,16.0,11.0,999.0,18.0,999.0,25.0,999.0,999.0,999.0,29.0,999.0,28.0,999.0,999.0,14.0,10.0,999.0,999.0,999.0,21.0,4.0,999.0,999.0,999.0,999.0,999.0,20.0,12.0,999.0,19.0,999.0,999.0,999.0,2.0,27.0,32.0,999.0,22.0,999.0,999.0,999.0,999.0,999.0,3.0,23.0,9.0,7.0,999.0,999.0,24.0,999.0,999.0,999.0,999.0,999.0,999.0,17.0,30.0,31.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
2014,12.0,4,999.0,23.0,999.0,11.0,22.0,26.0,9.0,15.0,999.0,10.0,999.0,2.0,3.0,999.0,999.0,999.0,999.0,999.0,999.0,7.0,28.0,999.0,6.0,999.0,999.0,999.0,999.0,18.0,27.0,999.0,14.0,999.0,999.0,999.0,32.0,999.0,999.0,8.0,5.0,999.0,999.0,1.0,16.0,999.0,999.0,24.0,13.0,31.0,999.0,999.0,999.0,999.0,19.0,29.0,999.0,30.0,999.0,17.0,25.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,20.0,21.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1938,999.0,3,4.0,999.0,999.0,6.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,14.0,11.0,999.0,999.0,999.0,999.0,999.0,8.0,999.0,2.0,13.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,999.0,999.0,9.0,999.0,999.0,999.0,999.0,10.0,999.0,999.0,12.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,7.0,15.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
2010,4.0,6,999.0,1.0,999.0,19.0,26.0,13.0,10.0,12.0,8.0,14.0,999.0,5.0,2.0,999.0,999.0,999.0,999.0,999.0,999.0,29.0,999.0,999.0,999.0,24.0,999.0,999.0,999.0,11.0,15.0,999.0,28.0,999.0,999.0,999.0,31.0,999.0,999.0,999.0,999.0,999.0,999.0,3.0,27.0,999.0,999.0,999.0,25.0,30.0,999.0,22.0,999.0,999.0,999.0,9.0,999.0,21.0,999.0,999.0,7.0,23.0,999.0,999.0,999.0,999.0,20.0,18.0,999.0,999.0,17.0,999.0,999.0,16.0,32.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
2006,999.0,5,14.0,9.0,999.0,10.0,1.0,7.0,999.0,25.0,18.0,15.0,999.0,6.0,11.0,21.0,999.0,999.0,999.0,24.0,999.0,2.0,25.0,999.0,999.0,999.0,999.0,999.0,999.0,4.0,17.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,31.0,999.0,999.0,999.0,3.0,999.0,28.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,22.0,28.0,999.0,16.0,999.0,12.0,13.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,19.0,999.0,999.0,999.0,999.0,8.0,20.0,23.0,27.0,30.0,32.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1958,999.0,1,2.0,999.0,8.0,999.0,999.0,11.0,999.0,999.0,12.0,16.0,999.0,13.0,999.0,999.0,4.0,15.0,999.0,999.0,14.0,3.0,999.0,10.0,999.0,999.0,6.0,999.0,999.0,999.0,999.0,7.0,999.0,999.0,999.0,9.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1970,4.0,1,9.0,999.0,999.0,999.0,2.0,8.0,999.0,999.0,999.0,6.0,999.0,999.0,999.0,999.0,3.0,999.0,7.0,999.0,999.0,999.0,999.0,999.0,10.0,999.0,5.0,14.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,15.0,999.0,999.0,10.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,16.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,12.0,13.0,999.0,999.0,999.0,999.0,999.0
1966,7.0,11,999.0,10.0,999.0,16.0,9.0,1.0,13.0,999.0,999.0,12.0,999.0,5.0,999.0,999.0,2.0,999.0,999.0,999.0,999.0,13.0,999.0,6.0,999.0,999.0,4.0,999.0,15.0,3.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,8.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1998,999.0,2,999.0,17.0,999.0,999.0,5.0,9.0,16.0,32.0,14.0,13.0,999.0,6.0,4.0,999.0,999.0,23.0,999.0,26.0,27.0,1.0,20.0,999.0,19.0,8.0,999.0,18.0,29.0,999.0,30.0,999.0,999.0,999.0,999.0,999.0,25.0,999.0,11.0,999.0,21.0,999.0,999.0,7.0,12.0,28.0,15.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,3.0,31.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,24.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,10.0,22.0,999.0,999.0,999.0
1962,13.0,1,999.0,12.0,4.0,16.0,9.0,8.0,3.0,999.0,999.0,11.0,999.0,10.0,999.0,999.0,7.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,999.0,999.0,6.0,999.0,15.0,999.0,999.0,999.0,999.0,999.0,999.0,2.0,999.0,999.0,999.0,999.0,14.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
1974,13.0,4,5.0,999.0,7.0,999.0,10.0,999.0,11.0,999.0,999.0,999.0,999.0,8.0,2.0,3.0,1.0,999.0,999.0,999.0,9.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,12.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,14.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,6.0,15.0,16.0
